,fcw,hmw,ldw,pcw,Alert,Lat,Long,Vehicle,Speed,Time-Hour,Time-Min,Time-Sec,Date-Year,Date-Month,Date-Day,Day,Region
0,0,0,1,0,cas_ldw,12.887403,80.083412,2846,48,5,36,36,2022,6,1,Wednesday,Chengalpettu-Area
1,0,0,1,0,cas_ldw,12.892586,80.085794,2846,58,5,36,47,2022,6,1,Wednesday,Chengalpettu-Area
2,0,0,1,0,cas_ldw,12.894932,80.087564,2846,57,5,37,4,2022,6,1,Wednesday,Chengalpettu-Area
3,0,0,1,0,cas_ldw,12.898267,80.090062,2846,49,5,37,31,2022,6,1,Wednesday,Chengalpettu-Area
4,0,0,1,0,cas_ldw,12.901594,80.092538,2846,58,5,38,8,2022,6,1,Wednesday,Chengalpettu-Area
5,0,0,1,0,cas_ldw,12.903877,80.094272,2846,54,5,38,21,2022,6,1,Wednesday,Chengalpettu-Area
6,0,0,1,0,cas_ldw,12.906194,80.095953,2846,58,5,38,41,2022,6,1,Wednesday,Chengalpettu-Area
7,0,0,1,0,cas_ldw,12.915664,80.103135,2846,62,5,40,21,2022,6,1,Wednesday,Chengalpettu-Area
8,0,0,1,0,cas_ldw,12.918451,80.109058,2846,51,5,41,17,2022,6,1,Wednesday,Chengalpettu-Area
9,0,0,1,0,cas_ldw,12.919239,80.110028,2846,47,5,41,25,2022,6,1,Wednesday,Chengalpettu-Area
10,0,0,1,0,cas_ldw,12.923053,80.114106,2846,57,5,41,58,2022,6,1,Wednesday,Mama-Mela-Region
11,0,1,0,0,cas_hmw,12.92877,80.119872,2846,42,5,43,3,2022,6,1,Wednesday,Mama-Mela-Region
12,0,1,0,0,cas_hmw,12.932561,80.123647,2846,38,5,44,6,2022,6,1,Wednesday,Mama-Mela-Region
13,0,1,0,0,cas_hmw,12.936615,80.127451,2846,27,5,45,13,2022,6,1,Wednesday,Mama-Mela-Region
14,0,0,1,0,cas_ldw,12.957073,80.14356,2846,39,6,4,38,2022,6,1,Wednesday,Mama-Mela-Region
15,0,0,1,0,cas_ldw,12.87899,80.080324,805,13,6,5,10,2022,6,1,Wednesday,Chengalpettu-Area
16,0,0,1,0,cas_ldw,12.873922,80.078184,805,59,6,6,41,2022,6,1,Wednesday,Chengalpettu-Area
17,0,0,1,0,cas_ldw,12.86711,80.075508,805,58,6,7,12,2022,6,1,Wednesday,Chengalpettu-Area
18,0,0,1,0,cas_ldw,12.855921,80.069229,805,58,6,7,50,2022,6,1,Wednesday,Chengalpettu-Area
19,0,0,1,0,cas_ldw,12.852359,80.066607,805,58,6,8,17,2022,6,1,Wednesday,Chengalpettu-Area
20,0,0,1,0,cas_ldw,12.849964,80.064909,805,58,6,8,36,2022,6,1,Wednesday,Chengalpettu-Area
21,0,0,1,0,cas_ldw,12.845798,80.061731,805,45,6,9,18,2022,6,1,Wednesday,Chengalpettu-Area
22,0,0,1,0,cas_ldw,12.980898,80.165679,2846,53,6,9,56,2022,6,1,Wednesday,Mama-Mela-Region
23,0,0,1,0,cas_ldw,12.980898,80.165679,2846,53,6,10,8,2022,6,1,Wednesday,Mama-Mela-Region
24,0,0,1,0,cas_ldw,12.841731,80.057609,805,58,6,10,17,2022,6,1,Wednesday,Chengalpettu-Area
25,0,0,1,0,cas_ldw,12.831583,80.046907,805,58,6,11,44,2022,6,1,Wednesday,Chengalpettu-Area
26,0,0,1,0,cas_ldw,12.822942,80.038928,805,58,6,12,59,2022,6,1,Wednesday,Tam-Chen-Area
27,0,0,1,0,cas_ldw,12.992264,80.182428,2846,54,6,13,8,2022,6,1,Wednesday,Madhuranthakam-Area
28,0,0,1,0,cas_ldw,12.820537,80.037237,805,57,6,13,23,2022,6,1,Wednesday,Tam-Chen-Area
29,0,0,1,0,cas_ldw,12.818145,80.035529,805,57,6,14,4,2022,6,1,Wednesday,Tam-Chen-Area
30,0,1,0,0,cas_hmw,12.815835,80.033858,805,45,6,14,53,2022,6,1,Wednesday,Tam-Chen-Area
31,0,0,1,0,cas_ldw,12.814768,80.033094,805,61,6,15,7,2022,6,1,Wednesday,Tam-Chen-Area
32,0,1,0,0,cas_hmw,12.803876,80.026072,805,58,6,15,35,2022,6,1,Wednesday,Tam-Chen-Area
33,0,1,0,0,cas_hmw,12.803876,80.026072,805,58,6,15,38,2022,6,1,Wednesday,Tam-Chen-Area
34,0,0,1,0,cas_ldw,12.801438,80.02447,805,58,6,15,58,2022,6,1,Wednesday,Tam-Chen-Area
35,0,0,1,0,cas_ldw,12.800221,80.023653,805,56,6,16,8,2022,6,1,Wednesday,Tam-Chen-Area
36,0,0,1,0,cas_ldw,12.797784,80.022085,805,58,6,16,26,2022,6,1,Wednesday,Tam-Chen-Area
37,0,1,0,0,cas_hmw,12.796555,80.021272,805,58,6,16,37,2022,6,1,Wednesday,Tam-Chen-Area
38,0,1,0,0,cas_hmw,12.795046,80.020296,805,0,6,16,46,2022,6,1,Wednesday,Tam-Chen-Area
39,0,0,1,0,cas_ldw,12.793592,80.019323,805,59,6,17,0,2022,6,1,Wednesday,Tam-Chen-Area
40,0,0,1,0,cas_ldw,12.790001,80.017028,805,57,6,17,27,2022,6,1,Wednesday,Tam-Chen-Area
41,0,0,1,0,cas_ldw,12.781964,80.012667,805,58,6,18,37,2022,6,1,Wednesday,Tam-Chen-Area
42,0,1,0,0,cas_hmw,12.779812,80.01172,805,58,6,18,55,2022,6,1,Wednesday,Tam-Chen-Area
43,0,1,0,0,cas_hmw,12.777725,80.010838,805,48,6,19,10,2022,6,1,Wednesday,Tam-Chen-Area
44,0,0,1,0,cas_ldw,13.010352,80.215922,2846,50,6,19,23,2022,6,1,Wednesday,Madhuranthakam-Area
45,0,0,1,0,cas_ldw,13.010352,80.215922,2846,50,6,19,42,2022,6,1,Wednesday,Madhuranthakam-Area
46,0,0,1,0,cas_ldw,12.770133,80.007326,805,46,6,20,11,2022,6,1,Wednesday,Tam-Chen-Area
47,0,1,0,0,cas_hmw,13.012897,80.221989,2846,49,6,20,31,2022,6,1,Wednesday,Madhuranthakam-Area
48,0,0,1,0,cas_ldw,12.766036,80.005408,805,58,6,20,42,2022,6,1,Wednesday,Tam-Chen-Area
49,0,0,1,0,cas_ldw,12.763868,80.004497,805,58,6,21,3,2022,6,1,Wednesday,Tam-Chen-Area
50,0,1,0,0,cas_hmw,12.757137,80.002432,805,58,6,21,48,2022,6,1,Wednesday,Tam-Chen-Area
51,0,0,1,0,cas_ldw,12.753059,80.000121,805,57,6,22,20,2022,6,1,Wednesday,Tam-Chen-Area
52,0,0,1,0,cas_ldw,12.751096,79.998814,805,58,6,22,40,2022,6,1,Wednesday,Tam-Chen-Area
53,0,0,1,0,cas_ldw,12.749247,79.997342,805,58,6,22,59,2022,6,1,Wednesday,Tam-Chen-Area
54,0,0,1,0,cas_ldw,12.74555,79.994405,805,58,6,23,20,2022,6,1,Wednesday,Tam-Chen-Area
55,0,0,1,0,cas_ldw,12.74555,79.994405,805,58,6,23,26,2022,6,1,Wednesday,Tam-Chen-Area
